carat,cut,cut_ord,color,clarity,clarity_ord,price,bid
2.35,Premium,4,I,SI2,2,16041.949999999999,11229.364999999998
0.5,Good,2,D,SI1,3,615.7,430.99
0.38,Ideal,5,E,SI2,2,-373.55999999999995,-261.49199999999996
1.06,Ideal,5,G,VS1,4,6255.280000000001,4378.696
0.33,Ideal,5,G,VS2,5,567.79,397.453
0.7,Fair,1,F,I1,1,1232.1999999999994,862.5399999999995
0.3,Ideal,5,D,VS2,5,315.4000000000001,220.78000000000006
1.5,Good,2,I,SI2,2,8574.7,6002.29
0.34,Very Good,3,G,VVS1,7,1243.72,870.6039999999999
0.59,Premium,4,D,VS1,4,2143.07,1500.1490000000001
0.81,Premium,4,G,SI1,3,3539.9300000000007,2477.9510000000005
0.55,Ideal,5,G,VVS2,6,2872.6500000000005,2010.8550000000002
0.31,Ideal,5,E,VS1,4,-54.4699999999998,-38.128999999999856
0.91,Good,2,G,VS2,5,4973.03,3481.1209999999996
0.4,Premium,4,H,SI1,3,90.60000000000036,63.42000000000025
0.81,Ideal,5,E,VS2,5,4606.030000000001,3224.2210000000005
0.31,Ideal,5,F,IF,8,1761.5300000000002,1233.0710000000001
1.1,Premium,4,H,SI1,3,5979.700000000001,4185.79
0.31,Very Good,3,H,VVS2,6,537.3299999999999,376.1309999999999
0.45,Ideal,5,G,VVS1,7,2485.35,1739.745
0.32,Ideal,5,D,VS2,5,483.65999999999985,338.5619999999999
0.32,Ideal,5,G,IF,8,1845.6599999999999,1291.9619999999998
0.31,Premium,4,J,SI1,3,-666.5699999999997,-466.59899999999976
1.0,Very Good,3,F,SI2,2,4526.3,3168.41
2.02,Premium,4,I,SI2,2,13265.659999999998,9285.961999999998
2.01,Premium,4,H,SI2,2,13181.529999999997,9227.070999999998
1.02,Very Good,3,F,SI1,3,5148.56,3603.992
1.16,Ideal,5,H,SI2,2,6188.58,4332.005999999999
0.77,Very Good,3,H,SI1,3,3045.3100000000004,2131.717
0.59,Premium,4,I,IF,8,3959.07,2771.349
0.34,Premium,4,D,SI2,2,-868.1799999999998,-607.7259999999999
0.3,Good,2,I,IF,8,1203.1,842.1699999999998
0.58,Ideal,5,I,SI1,3,1763.04,1234.128
0.52,Very Good,3,H,VS1,4,1396.0600000000002,977.2420000000001
0.33,Premium,4,G,VVS1,7,1317.69,922.3829999999999
1.38,Ideal,5,F,SI2,2,8039.439999999999,5627.607999999998
0.71,Ideal,5,F,SI2,2,2402.7299999999996,1681.9109999999996
0.96,Fair,1,F,SI2,2,3873.5799999999995,2711.5059999999994
1.02,Ideal,5,E,VVS1,7,7280.76,5096.532
0.53,Good,2,E,VS2,5,1776.0900000000004,1243.2630000000001
0.9,Premium,4,D,SI2,2,3843.1,2690.1699999999996
0.34,Fair,1,F,I1,1,-1796.48,-1257.5359999999998
0.36,Very Good,3,H,VS2,5,503.9799999999998,352.78599999999983
0.83,Very Good,3,F,VS1,4,4004.09,2802.863
1.3,Premium,4,I,IF,8,9932.3,6952.609999999999
1.02,Ideal,5,E,SI1,3,5464.76,3825.332
0.34,Ideal,5,E,VVS2,6,1105.92,774.144
0.54,Good,2,G,VS1,4,1406.2200000000005,984.3540000000003
0.56,Premium,4,G,VS1,4,1890.6800000000007,1323.4760000000003
2.37,Ideal,5,J,VS2,5,17730.31,12411.217
1.15,Ideal,5,H,SI2,2,6104.449999999999,4273.114999999999
0.4,Ideal,5,H,VS1,4,702.7000000000003,491.89000000000016
1.59,Ideal,5,G,VVS2,6,11622.17,8135.518999999999
1.42,Very Good,3,G,VVS2,6,9875.759999999998,6913.031999999998
0.31,Ideal,5,E,VVS2,6,853.5300000000002,597.4710000000001
0.57,Ideal,5,F,IF,8,3948.91,2764.2369999999996
0.7,Premium,4,I,VS2,5,3522.4999999999995,2465.7499999999995
0.41,Very Good,3,H,SI1,3,16.62999999999988,11.640999999999917
0.55,Very Good,3,E,SI1,3,1194.4500000000005,836.1150000000004
1.01,Ideal,5,D,VS2,5,6288.629999999999,4402.040999999999
0.24,Very Good,3,E,VVS2,6,-51.57999999999993,-36.105999999999945
0.3,Very Good,3,E,SI1,3,-908.8000000000002,-636.1600000000001
1.13,Ideal,5,F,SI1,3,6390.189999999999,4473.132999999999
0.72,Premium,4,H,SI1,3,2782.7599999999998,1947.9319999999998
0.52,Ideal,5,D,SI2,2,804.2600000000002,562.9820000000001
1.0,Very Good,3,D,SI1,3,4980.3,3486.21
0.47,Very Good,3,D,VS1,4,975.4099999999996,682.7869999999997
0.41,Ideal,5,D,SI2,2,-121.17000000000007,-84.81900000000005
0.51,Premium,4,G,SI1,3,1016.0300000000001,711.221
1.0,Very Good,3,F,SI1,3,4980.3,3486.21
1.55,Good,2,H,VS2,5,10357.349999999999,7250.144999999999
0.71,Very Good,3,G,VS2,5,3448.5299999999997,2413.9709999999995
1.21,Ideal,5,G,VS2,5,7971.23,5579.860999999999
1.95,Very Good,3,H,VS2,5,13880.649999999998,9716.454999999998
1.51,Premium,4,G,SI1,3,9429.029999999999,6600.320999999999
0.3,Premium,4,D,VS2,5,157.30000000000018,110.11000000000013
0.72,Very Good,3,D,VS2,5,3532.66,2472.8619999999996
0.31,Ideal,5,E,VVS2,6,853.5300000000002,597.4710000000001
0.53,Ideal,5,D,VS2,5,2250.3900000000003,1575.2730000000001
0.71,Very Good,3,G,SI2,2,2086.5299999999997,1460.5709999999997
1.07,Ideal,5,G,SI1,3,5885.41,4119.786999999999
0.24,Very Good,3,E,VS1,4,-959.5799999999999,-671.7059999999999
1.0,Very Good,3,F,IF,8,7250.3,5075.21
0.55,Ideal,5,G,VS1,4,1964.6500000000005,1375.2550000000003
0.52,Ideal,5,E,VS2,5,2166.26,1516.382
0.72,Ideal,5,G,SI2,2,2486.8599999999997,1740.8019999999997
0.9,Good,2,G,SI1,3,3980.8999999999996,2786.6299999999997
0.41,Ideal,5,F,VS2,5,1240.83,868.5809999999999
0.33,Ideal,5,G,SI1,3,-340.21000000000004,-238.14700000000002
0.56,Very Good,3,H,VS1,4,1732.5800000000006,1212.8060000000003
1.01,Very Good,3,F,SI2,2,4610.429999999999,3227.3009999999995
0.46,Premium,4,F,VVS1,7,2411.38,1687.966
1.01,Very Good,3,I,SI1,3,5064.429999999999,3545.100999999999
0.3,Ideal,5,F,VS2,5,315.4000000000001,220.78000000000006
0.3,Premium,4,G,VS1,4,-296.6999999999998,-207.68999999999986
2.02,Very Good,3,H,SI2,2,13107.559999999998,9175.291999999998
0.32,Ideal,5,E,VVS2,6,937.6599999999999,656.3619999999999
0.35,Premium,4,I,VS1,4,123.94999999999982,86.76499999999987
0.34,Ideal,5,D,SI1,3,-256.0799999999999,-179.25599999999994
0.6,Ideal,5,G,VS1,4,2385.3,1669.71
0.41,Premium,4,I,VVS2,6,1536.73,1075.711
1.01,Fair,1,G,VS1,4,5202.23,3641.5609999999992
0.54,Ideal,5,H,VVS1,7,3242.5200000000004,2269.764
1.01,Premium,4,E,SI2,2,4768.529999999999,3337.970999999999
0.3,Ideal,5,H,VVS1,7,1223.4,856.38
1.06,Premium,4,F,I1,1,4735.18,3314.626
0.7,Very Good,3,F,VS2,5,3364.3999999999996,2355.0799999999995
1.53,Very Good,3,F,SI1,3,9439.189999999999,6607.432999999999
0.82,Very Good,3,D,SI1,3,3465.96,2426.172
0.32,Ideal,5,G,VVS1,7,1391.6599999999999,974.1619999999998
0.27,Very Good,3,F,VS1,4,-707.1899999999996,-495.0329999999997
0.8,Ideal,5,F,VS2,5,4521.900000000001,3165.3300000000004
1.11,Ideal,5,G,VS1,4,6675.93,4673.151
0.71,Premium,4,G,VS2,5,3606.6299999999997,2524.6409999999996
0.61,Very Good,3,F,SI2,2,1245.2300000000002,871.6610000000002
1.31,Very Good,3,F,VS1,4,8042.330000000001,5629.631
0.71,Very Good,3,G,SI1,3,2540.5299999999997,1778.3709999999996
0.9,Premium,4,E,SI2,2,3843.1,2690.1699999999996
0.9,Premium,4,E,VS2,5,5205.1,3643.57
0.74,Ideal,5,E,VS2,5,4017.12,2811.984
0.3,Good,2,I,VS1,4,-612.9000000000001,-429.03000000000003
1.0,Very Good,3,F,VS1,4,5434.3,3804.0099999999998
0.3,Ideal,5,E,VS2,5,315.4000000000001,220.78000000000006
0.39,Good,2,E,VVS2,6,1052.2700000000002,736.589
0.51,Premium,4,F,SI1,3,1016.0300000000001,711.221
0.81,Ideal,5,E,SI2,2,3244.0300000000007,2270.8210000000004
1.62,Ideal,5,I,VS2,5,11420.560000000001,7994.392000000001
1.62,Premium,4,F,SI2,2,9900.460000000001,6930.322
0.57,Very Good,3,E,VS2,5,2270.71,1589.4969999999998
0.33,Ideal,5,G,VVS1,7,1475.79,1033.0529999999999
0.42,Ideal,5,E,VS2,5,1324.96,927.472
1.51,Premium,4,J,VS2,5,10337.029999999999,7235.9209999999985
0.31,Ideal,5,D,VS2,5,399.5300000000002,279.6710000000001
1.01,Very Good,3,G,SI1,3,5064.429999999999,3545.100999999999
0.41,Good,2,E,VVS1,7,1674.53,1172.1709999999998
0.7,Premium,4,F,SI1,3,2614.4999999999995,1830.1499999999996
0.9,Good,2,H,SI2,2,3526.8999999999996,2468.8299999999995
1.75,Good,2,D,SI1,3,11131.95,7792.365
0.36,Ideal,5,F,SI1,3,-87.82000000000016,-61.47400000000011
0.31,Ideal,5,F,IF,8,1761.5300000000002,1233.0710000000001
0.8,Very Good,3,D,SI1,3,3297.7000000000007,2308.3900000000003
0.32,Good,2,E,VS1,4,-444.6400000000003,-311.2480000000002
1.01,Good,2,F,VS2,5,5814.329999999999,4070.030999999999
0.72,Premium,4,I,SI1,3,2782.7599999999998,1947.9319999999998
0.71,Very Good,3,G,VS2,5,3448.5299999999997,2413.9709999999995
1.09,Ideal,5,E,SI2,2,5599.67,3919.769
0.63,Very Good,3,G,VS1,4,2321.49,1625.0429999999997
0.51,Ideal,5,D,VS1,4,1628.13,1139.691
1.01,Very Good,3,G,VS2,5,5972.429999999999,4180.700999999999
1.59,Premium,4,H,SI2,2,9648.07,6753.648999999999
0.54,Premium,4,F,VS1,4,1722.4200000000005,1205.6940000000002
0.28,Very Good,3,G,VVS2,6,284.9400000000005,199.45800000000034
0.54,Very Good,3,G,VVS1,7,2926.3200000000006,2048.4240000000004
1.52,Ideal,5,H,SI1,3,9671.26,6769.882
1.13,Ideal,5,I,VS2,5,7298.189999999999,5108.732999999998
1.07,Ideal,5,G,VS2,5,6793.41,4755.387
0.31,Ideal,5,H,VS2,5,399.5300000000002,279.6710000000001
0.7,Ideal,5,G,VS2,5,3680.5999999999995,2576.4199999999996
0.33,Ideal,5,H,VVS1,7,1475.79,1033.0529999999999
1.65,Fair,1,J,SI1,3,10132.55,7092.784999999999
0.54,Ideal,5,G,VVS2,6,2788.5200000000004,1951.9640000000002
0.71,Very Good,3,F,VS2,5,3448.5299999999997,2413.9709999999995
0.7,Very Good,3,G,VS2,5,3364.3999999999996,2355.0799999999995
2.05,Premium,4,H,VS2,5,14880.049999999997,10416.034999999998
1.0,Good,2,G,SI1,3,4822.2,3375.5399999999995
1.65,Ideal,5,G,VS2,5,11672.949999999999,8171.064999999999
0.37,Good,2,H,VS2,5,430.01,301.00699999999995
1.15,Premium,4,E,SI2,2,5946.3499999999985,4162.444999999999
0.57,Ideal,5,H,VS2,5,2586.91,1810.8369999999998
0.72,Very Good,3,J,SI1,3,2624.66,1837.2619999999997
0.71,Ideal,5,D,SI1,3,2856.7299999999996,1999.7109999999996
0.7,Very Good,3,F,SI1,3,2456.3999999999996,1719.4799999999996
1.38,Very Good,3,F,VS1,4,8631.239999999998,6041.867999999999
0.73,Ideal,5,E,VVS2,6,4386.99,3070.8929999999996
0.39,Very Good,3,E,VVS2,6,1210.3700000000001,847.259
2.14,Premium,4,D,SI2,2,14275.22,9992.653999999999
1.12,Very Good,3,E,VS2,5,6897.8600000000015,4828.502
0.36,Very Good,3,D,SI1,3,-404.0200000000002,-282.81400000000014
0.42,Very Good,3,D,VS1,4,554.76,388.332
0.5,Ideal,5,I,SI1,3,1090.0,763.0
2.0,Premium,4,J,VS2,5,14459.4,10121.58
0.3,Premium,4,F,VS2,5,157.30000000000018,110.11000000000013
1.35,Premium,4,H,VS1,4,8536.95,5975.865
1.57,Premium,4,G,SI1,3,9933.81,6953.6669999999995
0.31,Premium,4,G,VS2,5,241.4300000000003,169.0010000000002
0.33,Premium,4,E,VS2,5,409.69000000000005,286.783
1.02,Premium,4,H,SI1,3,5306.66,3714.662
1.01,Premium,4,G,VS2,5,6130.529999999999,4291.370999999999
0.83,Ideal,5,H,SI2,2,3412.29,2388.6029999999996
0.43,Very Good,3,G,SI1,3,184.8900000000001,129.42300000000006
1.2,Premium,4,H,SI2,2,6367.0,4456.9
1.01,Ideal,5,E,VS2,5,6288.629999999999,4402.040999999999
1.23,Ideal,5,I,SI2,2,6777.49,4744.2429999999995
0.53,Ideal,5,I,SI1,3,1342.3900000000003,939.6730000000001
1.0,Ideal,5,H,SI2,2,4842.5,3389.75
0.4,Very Good,3,E,IF,8,2202.5,1541.75
0.71,Premium,4,J,VVS2,6,4060.6299999999997,2842.441
1.33,Very Good,3,H,SI2,2,7302.590000000001,5111.813
0.43,Very Good,3,G,SI2,2,-269.1099999999999,-188.37699999999992
0.31,Very Good,3,G,VS1,4,-370.6700000000001,-259.46900000000005
1.21,Ideal,5,J,SI1,3,7063.23,4944.2609999999995
1.55,Premium,4,I,VS2,5,10673.55,7471.484999999999
0.8,Ideal,5,F,VS2,5,4521.900000000001,3165.3300000000004
0.71,Good,2,I,SI1,3,2382.4299999999994,1667.7009999999996
0.46,Fair,1,G,VS2,5,1029.08,720.3559999999999
0.3,Ideal,5,I,SI1,3,-592.5999999999999,-414.81999999999994
1.21,Good,2,J,VVS2,6,7950.929999999999,5565.650999999999
2.14,Ideal,5,I,SI2,2,14433.32,10103.323999999999
0.7,Good,2,I,SI2,2,1844.2999999999995,1291.0099999999995
1.03,Ideal,5,H,SI1,3,5548.889999999999,3884.2229999999995
1.06,Very Good,3,E,SI1,3,5485.080000000001,3839.5560000000005
1.41,Ideal,5,J,VS1,4,9199.83,6439.880999999999
0.3,Premium,4,H,VS1,4,-296.6999999999998,-207.68999999999986
0.79,Very Good,3,I,SI1,3,3213.5700000000006,2249.4990000000003
0.37,Good,2,H,SI1,3,-477.99,-334.59299999999996
0.62,Premium,4,G,SI1,3,1941.4600000000005,1359.0220000000002
0.7,Very Good,3,I,VS2,5,3364.3999999999996,2355.0799999999995
0.39,Very Good,3,E,VVS2,6,1210.3700000000001,847.259
1.12,Premium,4,G,VVS2,6,7509.960000000001,5256.972000000001
1.14,Very Good,3,E,IF,8,8428.119999999999,5899.683999999999
0.9,Ideal,5,H,VS1,4,4909.2,3436.4399999999996
0.5,Very Good,3,D,SI2,2,319.79999999999995,223.85999999999996
0.75,Ideal,5,D,SI2,2,2739.25,1917.475
0.38,Ideal,5,F,VVS2,6,1442.44,1009.708
1.07,Good,2,J,VS2,5,6319.11,4423.3769999999995
0.34,Very Good,3,D,SI2,2,-1026.28,-718.396
1.25,Ideal,5,E,SI2,2,6945.75,4862.025
0.9,Fair,1,F,SI1,3,3822.7999999999997,2675.9599999999996
2.74,Very Good,3,J,SI2,2,19164.920000000002,13415.444000000001
0.71,Very Good,3,E,VS2,5,3448.5299999999997,2413.9709999999995
0.33,Ideal,5,G,VS1,4,113.78999999999996,79.65299999999996
0.91,Very Good,3,H,VS2,5,5131.13,3591.7909999999997
0.33,Very Good,3,G,VVS2,6,705.5899999999999,493.9129999999999
0.4,Very Good,3,E,SI1,3,-67.49999999999977,-47.24999999999984
1.11,Premium,4,F,SI1,3,6063.83,4244.681
0.24,Good,2,F,VVS1,7,244.3199999999997,171.02399999999977
1.01,Very Good,3,G,SI1,3,5064.429999999999,3545.100999999999
0.31,Very Good,3,H,VS1,4,-370.6700000000001,-259.46900000000005
0.34,Very Good,3,F,VVS2,6,789.72,552.804
0.64,Ideal,5,E,VS1,4,2721.8199999999997,1905.2739999999997
1.01,Very Good,3,F,SI2,2,4610.429999999999,3227.3009999999995
0.7,Very Good,3,F,SI1,3,2456.3999999999996,1719.4799999999996
1.11,Very Good,3,J,SI1,3,5905.7300000000005,4134.011
0.7,Very Good,3,E,VS1,4,2910.3999999999996,2037.2799999999995
0.43,Ideal,5,G,VS1,4,955.0900000000001,668.5630000000001
0.91,Ideal,5,G,VS1,4,4993.33,3495.3309999999997
0.94,Very Good,3,D,SI2,2,4021.5199999999995,2815.0639999999994
0.3,Premium,4,G,IF,8,1519.3000000000002,1063.51
0.31,Ideal,5,D,VS2,5,399.5300000000002,279.6710000000001
1.51,Very Good,3,G,VS2,5,10178.93,7125.251
1.04,Premium,4,D,VS1,4,5928.92,4150.244
0.38,Ideal,5,H,VS1,4,534.44,374.108
1.01,Good,2,F,VS2,5,5814.329999999999,4070.030999999999
0.5,Fair,1,G,VS1,4,911.6,638.12
0.52,Ideal,5,G,SI2,2,804.2600000000002,562.9820000000001
1.05,Ideal,5,J,VS1,4,6171.15,4319.804999999999
1.54,Ideal,5,G,VVS2,6,11201.52,7841.063999999999
1.0,Premium,4,I,VS1,4,5592.4,3914.6799999999994
1.52,Very Good,3,H,SI1,3,9355.060000000001,6548.542
1.12,Very Good,3,F,SI1,3,5989.8600000000015,4192.902000000001
0.73,Ideal,5,G,VS1,4,3478.99,2435.2929999999997
1.08,Good,2,G,SI2,2,5041.240000000001,3528.8680000000004
0.36,Ideal,5,F,VS2,5,820.1799999999998,574.1259999999999
1.01,Ideal,5,F,VS1,4,5834.629999999999,4084.240999999999
0.55,Ideal,5,H,SI1,3,1510.6500000000005,1057.4550000000004
0.9,Good,2,G,VS2,5,4888.9,3422.2299999999996
0.43,Ideal,5,G,VVS1,7,2317.09,1621.963
0.54,Ideal,5,I,SI2,2,972.5200000000004,680.7640000000002
0.6,Premium,4,E,SI1,3,1773.2000000000003,1241.24
1.2,Premium,4,H,SI1,3,6821.0,4774.7
0.53,Good,2,F,VVS2,6,2230.09,1561.063
3.01,Fair,1,H,I1,1,20666.229999999996,14466.360999999995
0.58,Ideal,5,H,SI1,3,1763.04,1234.128
0.63,Ideal,5,D,SI1,3,2183.6899999999996,1528.5829999999996
0.52,Premium,4,I,VVS1,7,2916.1600000000003,2041.3120000000001
1.07,Very Good,3,G,VS1,4,6023.21,4216.246999999999
0.3,Very Good,3,G,VVS1,7,907.1999999999998,635.0399999999998
1.13,Good,2,F,SI2,2,5461.8899999999985,3823.3229999999985
0.51,Good,2,H,VS2,5,1607.8300000000002,1125.481
0.23,Good,2,E,VVS2,6,-293.8100000000004,-205.66700000000026
0.46,Ideal,5,E,VVS1,7,2569.48,1798.636
0.33,Ideal,5,E,SI1,3,-340.21000000000004,-238.14700000000002
2.05,Premium,4,E,SI2,2,13518.049999999997,9462.634999999998
0.3,Very Good,3,H,VS1,4,-454.8000000000002,-318.3600000000001
0.69,Fair,1,G,VS1,4,2510.0699999999993,1757.0489999999993
0.3,Ideal,5,F,IF,8,1677.4,1174.18
0.41,Ideal,5,D,SI2,2,-121.17000000000007,-84.81900000000005
0.9,Ideal,5,G,SI2,2,4001.2,2800.8399999999997
0.41,Premium,4,F,VS1,4,628.73,440.111
1.01,Very Good,3,E,VS2,5,5972.429999999999,4180.700999999999
0.57,Very Good,3,G,SI1,3,1362.7099999999998,953.8969999999998
1.22,Very Good,3,H,VS1,4,7285.160000000001,5099.612
0.31,Premium,4,F,I1,1,-1574.5699999999997,-1102.1989999999996
0.73,Ideal,5,E,VS2,5,3932.99,2753.093
0.53,Ideal,5,G,VS2,5,2250.3900000000003,1575.2730000000001
0.3,Very Good,3,D,VS2,5,-0.8000000000001819,-0.5600000000001273
0.53,Very Good,3,D,VS1,4,1480.1900000000003,1036.133
0.71,Very Good,3,H,SI1,3,2540.5299999999997,1778.3709999999996
0.54,Premium,4,E,VS2,5,2176.4200000000005,1523.4940000000004
0.41,Premium,4,E,VS1,4,628.73,440.111
0.9,Ideal,5,E,SI2,2,4001.2,2800.8399999999997
1.03,Very Good,3,F,SI2,2,4778.69,3345.0829999999996
1.08,Premium,4,F,SI1,3,5811.4400000000005,4068.0080000000003
0.32,Premium,4,D,VVS1,7,1233.56,863.492
0.43,Good,2,E,SI1,3,26.79000000000019,18.75300000000013
0.7,Ideal,5,H,SI1,3,2772.5999999999995,1940.8199999999995
0.74,Ideal,5,F,VVS1,7,4925.12,3447.584
1.5,Premium,4,G,VVS2,6,10706.9,7494.829999999999
0.34,Ideal,5,F,VVS1,7,1559.92,1091.944
0.57,Ideal,5,G,VS1,4,2132.91,1493.0369999999998
1.0,Good,2,F,SI1,3,4822.2,3375.5399999999995
0.7,Ideal,5,F,VS2,5,3680.5999999999995,2576.4199999999996
1.01,Ideal,5,E,SI1,3,5380.629999999999,3766.4409999999993
0.25,Premium,4,H,VVS1,7,644.6500000000001,451.25500000000005
0.53,Ideal,5,E,VVS1,7,3158.3900000000003,2210.873
0.96,Very Good,3,E,VS2,5,5551.78,3886.2459999999996
1.25,Ideal,5,H,VS2,5,8307.75,5815.424999999999
0.73,Ideal,5,E,SI2,2,2570.99,1799.6929999999998
0.34,Very Good,3,E,SI1,3,-572.28,-400.59599999999995
0.74,Premium,4,D,SI1,3,2951.02,2065.714
1.11,Very Good,3,H,SI1,3,5905.7300000000005,4134.011
0.54,Ideal,5,E,VVS2,6,2788.5200000000004,1951.9640000000002
0.95,Very Good,3,G,VS1,4,5013.65,3509.5549999999994
0.41,Ideal,5,I,VVS1,7,2148.83,1504.1809999999998
0.28,Very Good,3,H,VVS1,7,738.9400000000005,517.2580000000004
0.34,Premium,4,H,VVS1,7,1401.8200000000002,981.274
1.64,Premium,4,G,VS2,5,11430.72,8001.503999999999
0.71,Ideal,5,I,IF,8,5126.73,3588.7109999999993
0.74,Very Good,3,D,VS2,5,3700.92,2590.644
0.74,Ideal,5,G,VVS2,6,4471.12,3129.7839999999997
0.6,Premium,4,H,SI1,3,1773.2000000000003,1241.24
0.44,Ideal,5,D,VS1,4,1039.2199999999998,727.4539999999998
0.79,Very Good,3,F,SI1,3,3213.5700000000006,2249.4990000000003
0.58,Ideal,5,I,SI1,3,1763.04,1234.128
1.0,Good,2,E,VVS2,6,6184.2,4328.94
0.34,Ideal,5,G,VS1,4,197.92000000000007,138.54400000000004
0.31,Premium,4,F,VVS1,7,1149.4300000000003,804.6010000000001
0.31,Good,2,E,SI1,3,-982.77,-687.939
1.81,Very Good,3,I,VS1,4,12248.83,8574.180999999999
0.3,Premium,4,G,VS1,4,-296.6999999999998,-207.68999999999986
2.19,Premium,4,J,SI2,2,14695.87,10287.109
0.91,Ideal,5,G,SI2,2,4085.33,2859.7309999999998
0.37,Ideal,5,G,VS2,5,904.31,633.0169999999999
1.57,Premium,4,G,VS2,5,10841.81,7589.266999999999
1.0,Premium,4,I,SI2,2,4684.4,3279.0799999999995
1.09,Ideal,5,H,SI1,3,6053.67,4237.5689999999995
0.31,Good,2,I,VS1,4,-528.77,-370.13899999999995
0.5,Very Good,3,D,VS2,5,1681.8,1177.26
0.41,Premium,4,E,VS1,4,628.73,440.111
1.23,Ideal,5,H,SI1,3,7231.49,5062.043
1.09,Premium,4,I,SI1,3,5895.57,4126.898999999999
0.4,Ideal,5,I,VS1,4,702.7000000000003,491.89000000000016
0.42,Ideal,5,J,VS1,4,870.96,609.672
1.02,Ideal,5,G,SI1,3,5464.76,3825.332
1.0,Very Good,3,F,SI2,2,4526.3,3168.41
0.26,Very Good,3,G,VS2,5,-337.3199999999997,-236.12399999999977
0.23,Good,2,G,VVS1,7,160.1899999999996,112.13299999999971
0.46,Premium,4,I,IF,8,2865.38,2005.7659999999998
0.4,Good,2,E,SI2,2,-679.5999999999997,-475.71999999999974
2.05,Ideal,5,G,SI2,2,13676.149999999998,9573.304999999998
0.41,Ideal,5,E,VVS1,7,2148.83,1504.1809999999998
2.03,Ideal,5,J,VS2,5,14869.89,10408.922999999999
2.28,Ideal,5,I,SI2,2,15611.14,10927.797999999999
0.72,Very Good,3,F,VVS1,7,4440.66,3108.4619999999995
1.52,Good,2,I,VS2,5,10104.96,7073.471999999999
1.51,Premium,4,F,VS2,5,10337.029999999999,7235.9209999999985
1.14,Very Good,3,J,SI1,3,6158.12,4310.683999999999
0.51,Ideal,5,F,VS1,4,1628.13,1139.691
0.3,Ideal,5,I,SI2,2,-1046.6,-732.6199999999999
0.31,Premium,4,G,VS2,5,241.4300000000003,169.0010000000002
1.5,Very Good,3,D,SI1,3,9186.8,6430.759999999999
0.52,Ideal,5,E,VS2,5,2166.26,1516.382
0.7,Fair,1,D,SI1,3,2140.1999999999994,1498.1399999999994
0.3,Ideal,5,E,VVS1,7,1223.4,856.38
0.5,Fair,1,F,SI1,3,457.6,320.32
1.54,Premium,4,H,VS2,5,10589.42,7412.593999999999
1.2,Ideal,5,D,SI1,3,6979.1,4885.37
0.79,Very Good,3,E,SI2,2,2759.5700000000006,1931.6990000000003
1.2,Good,2,E,VS2,5,7412.8,5188.96
2.01,Premium,4,E,SI1,3,13635.529999999997,9544.870999999997
0.72,Very Good,3,H,VS1,4,3078.66,2155.062
1.1,Very Good,3,E,SI2,2,5367.600000000001,3757.3200000000006
0.23,Very Good,3,E,VVS2,6,-135.71000000000004,-94.99700000000001
0.94,Ideal,5,F,I1,1,3883.7199999999993,2718.6039999999994
2.16,Very Good,3,H,SI2,2,14285.380000000001,9999.766
0.27,Very Good,3,E,VVS2,6,200.8100000000004,140.56700000000026
0.35,Ideal,5,E,SI1,3,-171.95000000000027,-120.36500000000018
0.38,Ideal,5,G,VS1,4,534.44,374.108
1.21,Very Good,3,F,VS1,4,7201.03,5040.721
0.3,Premium,4,E,VVS2,6,611.3000000000002,427.9100000000001
0.56,Ideal,5,D,VS2,5,2502.7800000000007,1751.9460000000004
0.3,Good,2,H,SI2,2,-1520.9,-1064.63
1.01,Premium,4,D,SI1,3,5222.529999999999,3655.770999999999
0.34,Ideal,5,D,VS2,5,651.9200000000001,456.344
0.32,Premium,4,E,VVS1,7,1233.56,863.492
1.01,Very Good,3,D,SI2,2,4610.429999999999,3227.3009999999995
0.31,Premium,4,E,SI1,3,-666.5699999999997,-466.59899999999976
0.51,Ideal,5,G,SI1,3,1174.13,821.8910000000001
0.36,Premium,4,E,VS1,4,208.07999999999993,145.65599999999995
0.5,Premium,4,D,SI1,3,931.9,652.3299999999999
0.21,Premium,4,E,SI2,2,-1961.87,-1373.3089999999997
0.9,Very Good,3,H,SI1,3,4139.0,2897.2999999999997
1.03,Premium,4,E,SI2,2,4936.789999999999,3455.7529999999992
0.37,Ideal,5,F,SI1,3,-3.6900000000000546,-2.583000000000038
0.5,Premium,4,F,SI1,3,931.9,652.3299999999999
1.01,Very Good,3,G,VS1,4,5518.429999999999,3862.9009999999994
0.84,Good,2,G,VS2,5,4384.12,3068.8839999999996
0.76,Very Good,3,G,VS2,5,3869.1800000000003,2708.426
0.23,Very Good,3,E,VVS1,7,318.28999999999996,222.80299999999997
1.03,Premium,4,H,VS2,5,6298.789999999999,4409.152999999999
0.9,Good,2,I,VS2,5,4888.9,3422.2299999999996
0.32,Ideal,5,F,VVS1,7,1391.6599999999999,974.1619999999998
0.55,Ideal,5,F,VS2,5,2418.6500000000005,1693.0550000000003
1.55,Premium,4,G,SI1,3,9765.55,6835.884999999999
0.35,Ideal,5,D,VS2,5,736.0499999999997,515.2349999999998
1.51,Very Good,3,G,VS1,4,9724.93,6807.451
0.38,Ideal,5,F,VS2,5,988.44,691.908
0.33,Very Good,3,I,VVS2,6,705.5899999999999,493.9129999999999
0.31,Ideal,5,G,IF,8,1761.5300000000002,1233.0710000000001
0.3,Ideal,5,F,VS2,5,315.4000000000001,220.78000000000006
